氏名,ふりがな,プロフィール文
衆議院議長 額賀　福志郎,ぬかが　ふくしろう,○産経新聞記者、茨城県議会議員○通産政務次官、内閣官房副長官、防衛庁長官、経済財政担当大臣、防衛庁長官、財務大臣○自民党初代労政局長、広報本部長、幹事長代理、政務調査会長、安全保障調査会長、領土に関する特命委員長、税制調査会小委員長、東日本大震災復興加速化本部長、総合エネルギー戦略調査会長、税制調査会顧問、財政健全化推進本部長○衆議院大蔵委員長、議運委筆頭理事、商工委筆頭理事、政治改革特別委理事、逓信委理事、国家安全保障に関する特別委員長、情報監視審査会長○永年在職議員として衆議院より表彰される○衆議院議長（第79代・80代）○当選十四回（37 38 39 40 41 42 43 44 45 46 47 48 49 50）
衆議院副議長 玄葉　光一郎,げんば　こういちろう,○松下政経塾塾員○福島県議会議員○衆議院副議長○外務大臣、国家戦略担当、宇宙開発担当、公務員制度改革担当国務大臣、内閣府特命担当大臣（「新しい公共」・少子化対策・男女共同参画・科学技術政策）○民主党「次の内閣」総務大臣、選挙対策委員長、幹事長代理、分権調査会長、政策調査会長○衆議院青少年問題に関する特別委員長、財務金融委員長、決算行政監視委員長○平成三十年五月永年在職議員として衆議院より表彰される○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
逢沢　一郎,あいさわ　いちろう,○（公財）松下政経塾理事○通商産業政務次官、外務副大臣○自民党商工部会長、岡山県連会長、幹事長代理、国会対策委員長、総裁特別補佐、政治制度改革実行本部長、選挙制度調査会長○衆議院外務委員長、予算委員長、議院運営委員長、政治倫理審査会長○平成二十三年五月永年在職議員として衆議院より表彰される○当選十三回（38 39 40 41 42 43 44 45 46 47 48 49 50）
青柳　仁士,あおやぎ　ひとし,○国際協力機構（JICA）職員、国連職員○日本維新の会国際局長、国会議員団政務調査会長代行○衆議院予算委員会理事、外務委員会理事○著書「小さな会社のSDGs実践の教科書」○当選二回（49 50）
青柳　陽一郎,あおやぎ　よういちろう,○当選五回（46 47 48 49 50）
青山　大人,あおやま　やまと,○茨城県議会議員○衆議院議員、立憲民主党副幹事長、立憲民主党茨城県連代表○当選三回（48 49 50）
赤澤　亮正,あかざわ　りょうせい,○運輸省入省、国土交通省大臣官房秘書課企画官、日本郵政公社郵便事業総本部国際本部海外事業部長○国土交通大臣政務官、内閣府副大臣、財務副大臣、経済再生担当大臣、内閣府特命担当大臣（経済財政政策）○自民党国土交通部会長、国会対策副委員長、総務副会長、農林部会畜産・酪農対策委員会委員長、文化立国調査会事務局長、整備新幹線等鉄道調査会副会長、ITS推進・道路調査会副会長、政務調査会長代理、税制調査会幹事○衆議院環境委員会委員長、原子力問題調査特別委員会委員長○著書「テロ等準備罪」○当選七回（44 45 46 47 48 49 50）
赤羽　一嘉,あかば　かずよし,○三井物産株式会社入社、中国等に駐在○国土交通大臣、経済産業副大臣兼内閣府副大臣、財務副大臣○党副代表、兵庫県本部代表○衆議院災害対策特別委員長、国土交通委員長、経済産業委員長、総務委員長○当選十回（40 41 42 43 44 46 47 48 49 50）
あかま　二郎,あかま　じろう,○神奈川県議会議員、保護司○総務大臣政務官、総務副大臣兼内閣府副大臣、内閣府副大臣○自民党副幹事長、自民党国会対策副委員長、自民党総務部会長○衆議院財務金融委員会理事、国土交通委員長、同委員会筆頭理事、総務委員会筆頭理事○当選六回（44 46 47 48 49 50）
赤嶺　政賢,あかみね　せいけん,○沖縄県八重山高校・八重山商工高校教員、那覇市議会議員三期○沖縄県高教組支部執行委員、沖縄県知事選挙合同選対副議長、那覇市政革新共闘会議幹事を歴任○現在、日本共産党幹部会委員・沖縄県委員長○衆議院安全保障委員、沖縄北方特別委員、憲法審査会委員○当選九回（42 43 44 45 46 47 48 49 50）
